Entity,Code,Day,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V,Sinovac,Sinopharm/Beijing,CanSino
Cyprus,CYP,2021-08-27,713596,81764,252190,19515,0,0,0,0
Cyprus,CYP,2021-09-03,724267,82719,252365,19805,0,0,0,0
Cyprus,CYP,2021-09-10,734867,83954,252567,20030,0,0,0,0
Cyprus,CYP,2021-09-17,742923,84654,252710,20278,0,0,0,0
Cyprus,CYP,2021-09-24,749667,85297,253854,20377,0,0,0,0
Cyprus,CYP,2021-10-01,755486,85831,253947,20704,0,0,0,0
Cyprus,CYP,2021-10-08,761325,86426,254023,20734,0,0,0,0
Cyprus,CYP,2021-10-15,765614,86808,254103,20764,0,0,0,0
Czechia,CZE,2020-12-27,1278,0,0,0,0,0,0,0
Czechia,CZE,2020-12-28,3582,0,0,0,0,0,0,0
Czechia,CZE,2020-12-29,7044,0,0,0,0,0,0,0
Czechia,CZE,2020-12-30,10552,0,0,0,0,0,0,0
Czechia,CZE,2020-12-31,11855,0,0,0,0,0,0,0
Czechia,CZE,2021-01-01,12121,1,0,0,0,0,0,0
Czechia,CZE,2021-01-02,13398,1,0,0,0,0,0,0
Czechia,CZE,2021-01-03,14319,1,0,0,0,0,0,0
Czechia,CZE,2021-01-04,17915,6,0,0,0,0,0,0
Czechia,CZE,2021-01-05,22419,7,0,0,0,0,0,0
Czechia,CZE,2021-01-06,28253,7,0,0,0,0,0,0
Czechia,CZE,2021-01-07,36226,8,0,0,0,0,0,0
Czechia,CZE,2021-01-08,46260,8,0,0,0,0,0,0
Czechia,CZE,2021-01-09,48282,10,0,0,0,0,0,0
Czechia,CZE,2021-01-10,50045,10,0,0,0,0,0,0
Czechia,CZE,2021-01-11,59889,10,0,0,0,0,0,0
Czechia,CZE,2021-01-12,73282,11,0,0,0,0,0,0
Czechia,CZE,2021-01-13,86798,11,0,0,0,0,0,0
Czechia,CZE,2021-01-14,100770,1248,0,0,0,0,0,0
Czechia,CZE,2021-01-15,113995,2012,0,0,0,0,0,0
Czechia,CZE,2021-01-16,117056,2338,0,0,0,0,0,0
Czechia,CZE,2021-01-17,120211,2427,0,0,0,0,0,0
Czechia,CZE,2021-01-18,134330,2605,0,0,0,0,0,0
Czechia,CZE,2021-01-19,148844,3382,0,0,0,0,0,0
Czechia,CZE,2021-01-20,163559,4967,0,0,0,0,0,0
Czechia,CZE,2021-01-21,179958,5928,0,0,0,0,0,0
Czechia,CZE,2021-01-22,195647,6127,0,0,0,0,0,0
Czechia,CZE,2021-01-23,199792,6168,0,0,0,0,0,0
Czechia,CZE,2021-01-24,202789,6292,0,0,0,0,0,0
Czechia,CZE,2021-01-25,215190,6491,0,0,0,0,0,0
Czechia,CZE,2021-01-26,229424,6766,0,0,0,0,0,0
Czechia,CZE,2021-01-27,242667,7071,0,0,0,0,0,0
Czechia,CZE,2021-01-28,255746,7192,0,0,0,0,0,0
Czechia,CZE,2021-01-29,269685,7344,0,0,0,0,0,0
Czechia,CZE,2021-01-30,271500,7348,0,0,0,0,0,0
Czechia,CZE,2021-01-31,273388,7351,0,0,0,0,0,0
Czechia,CZE,2021-02-01,285034,7610,0,0,0,0,0,0
Czechia,CZE,2021-02-02,299057,7938,0,0,0,0,0,0
Czechia,CZE,2021-02-03,313720,8676,0,0,0,0,0,0
Czechia,CZE,2021-02-04,330425,9818,0,0,0,0,0,0
Czechia,CZE,2021-02-05,345333,11011,0,0,0,0,0,0
Czechia,CZE,2021-02-06,348266,11270,1,0,0,0,0,0
Czechia,CZE,2021-02-07,351336,11533,1,0,0,0,0,0
Czechia,CZE,2021-02-08,365870,12446,4,0,0,0,0,0
Czechia,CZE,2021-02-09,381215,14108,5,0,0,0,0,0
Czechia,CZE,2021-02-10,398168,15866,5,0,0,0,0,0
Czechia,CZE,2021-02-11,417042,19253,239,0,0,0,0,0
Czechia,CZE,2021-02-12,435832,21497,645,0,0,0,0,0
Czechia,CZE,2021-02-13,439475,21988,1085,0,0,0,0,0
Czechia,CZE,2021-02-14,441398,22236,1288,0,0,0,0,0
Czechia,CZE,2021-02-15,454951,23658,2043,0,0,0,0,0
Czechia,CZE,2021-02-16,469058,26140,3217,0,0,0,0,0
Czechia,CZE,2021-02-17,482238,28887,5267,0,0,0,0,0
Czechia,CZE,2021-02-18,498232,31243,7269,0,0,0,0,0
Czechia,CZE,2021-02-19,514260,32644,9009,0,0,0,0,0
Czechia,CZE,2021-02-20,516738,32649,9684,0,0,0,0,0
Czechia,CZE,2021-02-21,518500,32751,9949,0,0,0,0,0
Czechia,CZE,2021-02-22,532015,33752,11561,0,0,0,0,0
Czechia,CZE,2021-02-23,548385,34535,14300,0,0,0,0,0
Czechia,CZE,2021-02-24,563990,35874,17242,0,0,0,0,0
Czechia,CZE,2021-02-25,581937,37058,21602,0,0,0,0,0
Czechia,CZE,2021-02-26,599221,37902,24956,0,0,0,0,0
Czechia,CZE,2021-02-27,601977,38075,25579,0,0,0,0,0
Czechia,CZE,2021-02-28,604196,38270,26049,0,0,0,0,0
Czechia,CZE,2021-03-01,621525,39870,30101,0,0,0,0,0
Czechia,CZE,2021-03-02,640981,41748,39509,0,0,0,0,0
Czechia,CZE,2021-03-03,662809,45473,49280,0,0,0,0,0
Czechia,CZE,2021-03-04,686536,50234,58670,0,0,0,0,0
Czechia,CZE,2021-03-05,708676,53886,67068,1,0,0,0,0
Czechia,CZE,2021-03-06,715735,55291,71571,6,0,0,0,0
Czechia,CZE,2021-03-07,722523,56684,75740,8,0,0,0,0
Czechia,CZE,2021-03-08,746024,59782,83662,9,0,0,0,0
Czechia,CZE,2021-03-09,772066,65122,94912,10,0,0,0,0
Czechia,CZE,2021-03-10,804276,70169,105858,10,0,0,0,0
Czechia,CZE,2021-03-11,841293,74470,117677,11,0,0,0,0
Czechia,CZE,2021-03-12,870779,79921,129955,12,0,0,0,0
Czechia,CZE,2021-03-13,884816,81222,132960,12,0,0,0,0
Czechia,CZE,2021-03-14,895987,82361,133880,12,0,0,0,0
Czechia,CZE,2021-03-15,918232,89187,141933,12,0,0,0,0
Czechia,CZE,2021-03-16,949620,98425,150682,14,0,0,0,0
Czechia,CZE,2021-03-17,980787,106179,159697,14,0,0,0,0
Czechia,CZE,2021-03-18,1014588,113353,169050,17,0,0,0,0
Czechia,CZE,2021-03-19,1047707,119451,177865,17,0,0,0,0
Czechia,CZE,2021-03-20,1061241,120602,180303,19,0,0,0,0
Czechia,CZE,2021-03-21,1069369,120927,180778,21,0,0,0,0
Czechia,CZE,2021-03-22,1095159,125258,187660,22,0,0,0,0
